x,y,z
400.7431667510701,319.81396856970474,a
430.08157589368665,304.95824052442333,a
440.63897389821426,242.40773974774737,a
410.9799873768933,230.53314072236776,a
393.10996239565543,259.0508254673738,a
389.8986115383872,286.7635141265131,a
368.9876490419787,241.50210806622522,a
369.84946005019924,222.25978584047505,a
384.7500140772583,235.10163258375763,a
387.98490763809303,219.6921202792587,a
390.49580151806094,287.6806422713179,a
375.49294570130064,270.69313885874664,a
370.8389139866909,281.6735979415046,a
366.91707895229206,253.73145921104154,a
311.1834688604556,66.97025212576324,b
244.18994503059997,87.61320855095795,b
317.7303841885847,70.2824614356685,b
300.0884992626574,90.11615995765254,b
296.9342682665148,147.5648293769732,b
304.4233237047432,141.22790628979703,b
264.51871524207075,180.75074189901682,b
311.46753497343224,179.3828663702564,b
249.73763805337938,223.117049670509,b
322.81377790766277,171.26527792517692,b
285.51722624531595,190.01017856211587,b
277.084939713337,198.53705355710633,b
320.6850850691475,168.80259543181126,b
244.69204419776548,178.49707580926292,b
329.8046194351804,214.4237024622446,b
252.04607981847562,212.73379936573974,b
301.73628190856124,157.17135974743655,b
278.075293304864,163.91535674986,b
309.19259352078586,184.2536476708326,b
281.7393966977065,173.26663844848565,b
276.7075513229069,124.22556767929728,b
290.8567823459428,130.00935430464716,b
292.880170682971,152.50774988268722,b
287.4563524599606,124.74860747320969,b
257.4759776059722,132.7948884707115,b
276.426332781924,93.7120892963872,b
236.54167446504198,136.89177262586134,b
271.93001204141837,74.35342352961851,b
231.66467258381655,97.08697368843968,b
268.95936860348843,112.3320720655808,b
253.54119344965775,95.48324042214432,b
255.24891341336905,94.18022379083277,b
287.57159019689533,56.35672233060171,b
283.6856591447288,101.32260617068414,b
237.95445352597136,99.9068603538098,b
301.45183145936056,118.09968686079134,b
298.9890303317086,129.97852223467493,b
273.8947526302114,138.1353733378778,b
232.51504267826678,105.5582429896615,b
225.70785379777388,104.236441563538,b
203.42776362636388,145.7198471406279,b
201.06347679096888,143.31248769644543,b
203.05628246606292,175.51983950170973,b
208.719738534295,191.12883056263775,b
199.43721313501268,168.15511853707386,b
188.21470479121302,120.22639968393162,b
200.4972565896809,183.50792573497978,b
227.02382155476772,184.11367056442577,b
205.73775877715383,161.9114548615592,b
171.71027121966105,147.15275297692432,b
179.98429883281443,168.25248954522039,b
198.8602432429386,172.09330907988345,b
157.12357105499441,143.884172792585,b
240.95983019274468,153.2690163972801,b
280.2032759233619,132.29494513804048,b
285.32381205467124,125.12597111298959,b
301.2613665986276,114.23527079237664,b
274.6084866822119,88.28260189068493,b
271.80797772932544,33.51798814412689,b
277.7562998477961,54.76239037254368,b
266.5694515216739,107.52094761921603,b
277.1463069575108,95.99786464316952,b
276.6240671237586,74.42240377391107,b
303.75928285477744,102.89710195293623,b
312.23849798259664,150.68020526954638,b
353.52388513872484,70.44088752140925,b
319.99212180852106,103.97920873412994,b
315.0854566461268,130.4020946541268,b
269.1942128819804,70.36682216558967,b
269.64230870244074,140.87987020326727,b
237.74775313316601,118.27946990598099,b
299.55719359973284,49.645992170317584,b
277.13774951104915,110.58015385850751,b
208.91540759270814,162.82094165404158,b
243.06108901162733,100.55020719158546,b
201.45725763905443,146.265178690936,b
221.7563304917943,102.64935683500704,b
238.10457337982925,164.6160970673606,b
178.81878349792987,164.2468439973929,b
224.61692501798228,144.11450623034125,b
242.20288424061158,94.31247782833003,b
231.64882813598254,141.12119774129116,b
189.11947109324979,106.49573522579107,b
221.52468619314203,78.87194850097876,b
253.94893887779804,149.50785458526502,b
285.97167321673226,87.4027663117634,b
285.9095704209524,87.40203857770882,b
261.3583892473037,107.76426520138398,b
233.71405855100633,139.73284738033215,b
244.90361614099157,132.84988237596247,b
257.3863984025372,73.97682630749279,b
237.15587920215347,105.78072941505263,b
234.39114544972358,92.49364994248452,b
286.0254682629706,133.88478509361846,b
203.11034420472893,210.93003330745455,b
212.9182717521913,187.66918178689247,b
255.40505655286316,165.55810465590434,b
225.30267275581795,137.6419283583275,b
239.3003630418734,116.90322471565531,b
208.61796053178693,142.00162907465688,b
246.9413604244067,162.71005320702267,b
282.4526161924635,149.1399440307277,b
233.12374643289928,152.5035236305688,b
257.7651279341878,134.6838854425763,b
230.75483430370753,137.96641101054848,b
264.27467049007964,187.5815453567527,b
243.578991140923,138.24423927667783,b
249.47669449231893,119.9545732994618,b
253.48266704140093,130.8543371950567,b
246.43521428897708,131.0500422035039,b
295.7030737596127,164.36573913280756,b
273.29458690528656,141.1262679159093,b
309.6907665839283,72.16415814178589,b
286.25002788697236,142.2512746065475,b
285.3459374378776,105.09552017216032,b
318.74508973870843,132.4124621478586,b
304.65906113241465,125.29402497164875,b
291.6094429055228,72.04265088020901,b
347.3800779495545,146.34069440106748,b
325.5900795652979,136.0527172596178,b
331.0129521152906,114.62790086832456,b
